Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,77.12999725,77.93000031,76.29000092,76.55999756,66.0605011,11437900
7/2/2019,76.13999939,76.26999664,75.41000366,75.72000122,65.33570862,10475400
7/3/2019,75.81999969,76.5,75.62999725,76.44000244,65.95694733,5246100
7/5/2019,76.19000244,76.34999847,75.58999634,76.12999725,65.68946838,6880800
7/8/2019,76.13999939,76.69999695,75.91999817,76.48000336,65.99147034,7876100
7/9/2019,76.44999695,76.76999664,75.73000336,76.43000031,65.94831848,7863000
7/10/2019,76.80000305,77.62999725,76.73999786,77.51000214,66.88022614,8077400
7/11/2019,77.41000366,77.61000061,77.05000305,77.56999969,66.93199158,6404000
7/12/2019,77.75,77.87999725,77.5,77.62999725,66.98375702,6139000
7/15/2019,77.62999725,77.73999786,76.88999939,77.08000183,66.50917816,7116400
7/16/2019,76.91999817,77.06999969,75.79000092,75.93000031,65.51690674,10197400
7/17/2019,75.73999786,75.95999908,75.34999847,75.48000336,65.1286087,7419300
7/18/2019,75.02999878,75.26999664,74.18000031,74.83999634,64.57637787,11424500
7/19/2019,74.90000153,75.25,74.54000092,74.98999786,64.70581055,11243100
7/22/2019,75.23999786,75.30000305,74.5,75.06999969,64.77482605,8368800
7/23/2019,75.15000153,75.76999664,74.75,75.37000275,65.03370667,8551200
7/24/2019,75.38999939,76.05000305,74.84999847,75.36000061,65.02507019,8260200
7/25/2019,75.77999878,75.77999878,74.80000305,74.93000031,64.65403748,9083900
7/26/2019,74.87000275,75.08000183,74.59999847,74.80999756,64.5504837,7677300
7/29/2019,74.87999725,75.37999725,74.69999695,75.33999634,65.0078125,7091900
7/30/2019,75.05999756,75.55999756,74.88999939,75.34999847,65.01644135,6961200
7/31/2019,75.04000092,75.66000366,74.26000214,74.36000061,64.16220093,13104600
8/1/2019,73.73999786,74.26999664,72.26999664,72.45999908,62.52278137,17132800
8/2/2019,72.61000061,73.26000214,71.18000031,71.75,61.91016388,21376700
8/5/2019,70.77999878,70.91999817,69.61000061,70.27999878,60.64174652,19080900
8/6/2019,70.29000092,71.01000214,70.27999878,70.95999908,61.22848511,12282400
8/7/2019,69.86000061,70.87999725,69.40000153,70.5,60.83157349,15231100
8/8/2019,70.84999847,72.41000366,70.62000275,72.37999725,62.45374298,14304100
8/9/2019,72.12999725,72.25,70.47000122,70.83999634,61.12493896,13686600
8/12/2019,70.05999756,70.16000366,69.33000183,69.62999725,60.82791901,9542600
8/13/2019,69.26999664,70.62000275,68.91999817,70.48999786,61.57920837,12403300
8/14/2019,69.06999969,69.08999634,67.65000153,67.65000153,59.09821701,18114400
8/15/2019,67.45999908,67.55999756,66.52999878,67.25,58.74878311,12874400
8/16/2019,67.77999878,68.45999908,67.26999664,68.30000305,59.66605759,12649000
8/19/2019,68.97000122,69.65000153,68.86000061,69.44999695,60.67067337,10032800
8/20/2019,69.30000305,69.30000305,68.70999908,69.02999878,60.30377197,9743500
8/21/2019,69.95999908,69.98000336,69.37000275,69.72000122,60.90655136,10134200
8/22/2019,69.91000366,69.95999908,69.25,69.56999969,60.77549744,8972000
8/23/2019,68.81999969,69.52999878,67.02999878,67.48999786,58.95845032,15371900
